phage,host,phage_name,host_name
NC_011272,CP027541,"Mycobacterium phage Rizal, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_011273,CP027541,"Mycobacterium phage Myrna, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK524513,CP027541,"Mycobacterium phage Munch, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK524512,CP027541,"Mycobacterium phage Carthage, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK524510,NZ_LT629770,"Microbacterium phage Fireman, complete genome",Microbacterium paraoxydans strain DSM 15019 chromosome I
MK524517,CP027541,"Mycobacterium phage James, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_004927,NZ_AOLH01000002,"Halovirus HF1, complete genome","Haloferax lucentense DSM 14919 contig_2, whole genome shotgun sequence"
MK524515,CP027541,"Mycobacterium phage Parmesanjohn, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK524514,CP027541,"Mycobacterium phage Bud, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH077580,CP027541,"Mycobacterium phage Melissauren88, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH077581,CP027541,"Mycobacterium phage Nemo27, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH077582,CP027541,"Mycobacterium phage Olive, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH077583,CP027541,"Mycobacterium phage PGHhamlin, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH077584,CP027541,"Mycobacterium phage Phish, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH077585,CP027541,"Mycobacterium phage TChen, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KF017927,CP027541,"Mycobacterium phage Odin, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KY798216,CP027541,"Mycobacterium phage Journey13, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_021558,CP028366,Paenibacillus phage PG1 genomic sequence,Paenibacillus glucanolyticus strain W10507 chromosome
KP057620,CP027541,"Mycobacterium phage HamSlice, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG962368,NZ_CP029604,"Gordonia phage Gravy, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MG962369,NZ_CP029604,"Gordonia phage Kerry, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MG962366,QUAI01000001,"Rhodococcus phage Finch, complete genome","Rhodococcus erythropolis strain ATCC 15903 DVG80_1, whole genome shotgun sequence"
MG962367,CP019892,"Microbacterium phage Gelo, complete genome",Microbacterium foliorum strain 122 genome
MG962364,CP027541,"Mycobacterium phage Deby, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG962365,CP027541,"Mycobacterium phage DoesntMatter, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG962362,CP027541,"Mycobacterium phage AltPhacts, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG962363,CP027541,"Mycobacterium phage BatteryCK, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG962360,CP019892,"Microbacterium phage AlexAdler, complete genome",Microbacterium foliorum strain 122 genome
MG962361,CP027541,"Mycobacterium phage Alexphander, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH825701,CP027541,"Mycobacterium phage Flare16, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH825700,NZ_LT629770,"Microbacterium phage Efeko, complete genome",Microbacterium paraoxydans strain DSM 15019 chromosome I
KT959213,QUAI01000001,"Rhodococcus phage TWAMP, complete genome","Rhodococcus erythropolis strain ATCC 15903 DVG80_1, whole genome shotgun sequence"
MH825702,CP027541,"Mycobacterium phage Hamish, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH825705,CP027541,"Mycobacterium phage Mesh1, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH825704,CP027541,"Mycobacterium phage LilTurb, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH825707,CP027541,"Mycobacterium phage MilleniumForce, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_025417,CP013922,"Staphylococcus phage Team1, complete genome","Staphylococcus xylosus strain S170, complete genome"
NC_025416,NZ_CP023560,"Staphylococcus phage MCE-2014, complete genome",Staphylococcus aureus strain NMR08 chromosome
NC_025415,CP031023,"Lactobacillus phage Ld25A, complete genome","MAG Lactobacillus delbrueckii subsp. lactis isolate NWC_2_2 chromosome, complete genome"
KC661271,CP027541,"Mycobacterium phage Dhanush, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KC661276,CP027541,"Mycobacterium phage Winky, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_017732,NZ_UGJA01000003,"Enterococcus phage EF62phi, complete genome","Enterococcus faecalis strain NCTC13779, whole genome shotgun sequence"
MH045557,CP019892,"Microbacterium phage BurtonThePup, complete genome",Microbacterium foliorum strain 122 genome
KP027208,CP027541,"Mycobacterium phage Pipsqueak, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KP027209,CP027541,"Mycobacterium phage Sigman, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK112535,LC361338,"Arthrobacter phage CallieOMalley, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
KP027202,CP027541,"Mycobacterium phage Taurus, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KP027203,CP027541,"Mycobacterium phage Treddle, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KP027204,CP027541,"Mycobacterium phage Thor, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
JN116824,NZ_CM001149,"Rhodococcus phage REQ3, complete genome","Rhodococcus hoagii ATCC 33707 chromosome, whole genome shotgun sequence"
KP027207,CP027541,"Mycobacterium phage Chandler, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023604,CP027541,"Mycobacterium phage Jolie2, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF919517,CP027541,"Mycobacterium phage LilHazelnut, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF919514,NZ_CP029604,"Gordonia phage Lennon, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
NC_023607,CP027541,"Mycobacterium phage 40AC, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023600,CP027541,"Mycobacterium phage Jolie1, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF919513,CP027541,"Mycobacterium phage Koguma, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF919510,NZ_CP029604,"Gordonia phage Kabluna, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
NC_023603,CP027541,"Mycobacterium phage 39HC, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
JQ512844,CP027541,"Mycobacterium phage Twister, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_007646,MH841968,"Ovine herpesvirus 2 strain BJ1035, complete genome","Ovis aries mitochondrion, complete genome"
NC_023609,CP027541,"Mycobacterium phage RhynO, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF919518,CP027541,"Mycobacterium phage LilPharaoh, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF919519,CP027541,"Mycobacterium phage Longacauda, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_008575,NZ_CDQJ01000001,"Ralstonia phage RSS1, complete genome","Ralstonia solanacearum strain CFBP3858, whole genome shotgun sequence"
MK308638,CP019892,"Microbacterium phage ArMaWen, complete genome",Microbacterium foliorum strain 122 genome
MG210949,LC361338,"Arthrobacter phage Huntingdon, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
NC_024388,AP017936,"Leuconostoc phage phiLN34, complete genome","Leuconostoc mesenteroides DNA, complete genome, strain: LK-151"
MF140429,LC361338,"Arthrobacter phage Swenson, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
NC_031230,NZ_CP029604,"Gordonia phage Yvonnetastic, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
NC_031231,LC361338,"Arthrobacter phage KellEzio, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
NC_031237,NZ_CP029604,"Gordonia phage Obliviate, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
NC_031234,NZ_CP029604,"Gordonia phage Emalyn, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MF140420,LC361338,"Arthrobacter phage Mariposa, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
MH727544,CP027541,"Mycobacterium phage Dalmuri, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF140422,CP027541,"Mycobacterium phage Nicholasp3, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF140423,LC361338,"Arthrobacter phage Nightmare, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
MF140424,LC361338,"Arthrobacter phage Nubia, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
MF140425,LC361338,"Arthrobacter phage PitaDog, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
MF140426,LC361338,"Arthrobacter phage Seume, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
MK112539,CP027541,"Mycobacterium phage Dione, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_003460,CP030279,"Propionibacterium phage B5, complete genome","Propionibacterium freudenreichii strain CB129slpB chromosome, complete genome"
NC_011292,CP027541,"Mycobacterium phage Konstantine, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_011290,CP027541,"Mycobacterium phage Gumball, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_011291,CP027541,"Mycobacterium phage Brujita, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KY130461,CP027541,"Mycobacterium phage Taptic, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG515223,NZ_GG657757,"Streptomyces phage WRightOn, complete genome","Streptomyces viridochromogenes DSM 40736 supercont1.1, whole genome shotgun sequence"
NC_027350,CP024679,"Citrobacter virus Stevie, complete genome","Citrobacter freundii strain UMH15 chromosome, complete genome"
NC_031126,NZ_NQJM01000001,"Erwinia phage vB_EamM_ChrisDB, complete genome","Erwinia amylovora strain RISTBO01-2 tig00000000, whole genome shotgun sequence"
NC_031127,NZ_NQJM01000001,"Erwinia phage vB_EamM_Huxley, complete genome","Erwinia amylovora strain RISTBO01-2 tig00000000, whole genome shotgun sequence"
NC_031124,CP027541,"Mycobacterium phage Gardann, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_031125,CP017065,"Lactobacillus phage PLE3, complete genome","Lactobacillus casei strain LC5, complete genome"
NC_031122,NZ_CP029604,"Gordonia phage Eyre, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
NC_031123,CP024679,"Citrobacter phage SH3, complete genome","Citrobacter freundii strain UMH15 chromosome, complete genome"
NC_031120,NZ_NQJM01000001,"Erwinia phage vB_EamM_Caitlin, complete genome","Erwinia amylovora strain RISTBO01-2 tig00000000, whole genome shotgun sequence"
NC_023554,CP027541,"Mycobacterium phage JAMaL, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023555,CP028813,"Edwardsiella phage eiAU-183, complete genome","Edwardsiella ictaluri strain MS-17-156 chromosome, complete genome"
NC_023556,NC_014640,"Achromobacter phage JWAlpha, complete genome","Achromobacter xylosoxidans A8, complete sequence"
NC_023550,NZ_CP023560,"Staphylococcus phage GRCS, complete genome",Staphylococcus aureus strain NMR08 chromosome
KY471460,CP027541,"Mycobacterium phage Jabith, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_031129,CP030026,"Salmonella phage SJ46, complete genome",Salmonella enterica subsp. diarizonae serovar 59:z10:- strain SA20051472 chromosome
NC_012743,CP019668,"Burkholderia phage BcepIL02, complete genome","Burkholderia cenocepacia strain VC7848 chromosome, complete genome"
NC_018084,CP019576,"Clostridium phage phiZP2, complete genome",Clostridium perfringens strain Del1 genome
NC_018083,CP019576,"Clostridium phage phiCPV4, complete genome",Clostridium perfringens strain Del1 genome
KT373978,CP027541,"Mycobacterium phage Ukulele, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KX369585,CP027541,"Mycobacterium phage PhatCats2014, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_008294,NZ_SAUP01000001,"Pseudomonas phage PRR1, complete genome","Pseudomonas asplenii strain ES_PA-E7 Ga0181145_11, whole genome shotgun sequence"
MH576962,NZ_CM001889,"Streptomyces phage Satis, complete genome","Streptomyces lividans 1326 chromosome, whole genome shotgun sequence"
MH576963,CP019892,"Microbacterium phage Scamander, complete genome",Microbacterium foliorum strain 122 genome
MH576960,NZ_CP029604,"Gordonia phage Pleakley, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MH576961,LC361338,"Arthrobacter phage Ronnie, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
MH576966,CP027541,"Mycobacterium phage Thyatira, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH576967,CP027541,"Mycobacterium phage UAch1, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023730,CP027541,"Mycobacterium phage Redi, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH576969,NZ_CP029604,"Gordonia phage Zarbodnamra, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
NC_031052,NZ_CP029604,"Gordonia phage Twister6, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
NC_031053,NZ_UWXU01000001,"Klebsiella phage PKP126, complete genome","Klebsiella pneumoniae isolate kpneu038, whole genome shotgun sequence"
NC_031051,NZ_UGJA01000003,"Enterococcus phage SANTOR1, complete genome","Enterococcus faecalis strain NCTC13779, whole genome shotgun sequence"
KR816508,CP027541,"Mycobacterium phage Phamished, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KT326768,CP027541,"Mycobacterium phage Tasp14, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG757153,NZ_GG657757,"Streptomyces phage BillNye, complete genome","Streptomyces viridochromogenes DSM 40736 supercont1.1, whole genome shotgun sequence"
MG757152,NZ_CP029604,"Gordonia phage Adgers, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MG757157,NZ_CP029604,"Gordonia phage Flapper, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MG757156,CP027541,"Mycobacterium phage Cuke, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG757154,NZ_CM001889,"Streptomyces phage Bing, complete genome","Streptomyces lividans 1326 chromosome, whole genome shotgun sequence"
MG757159,CP027541,"Mycobacterium phage JangoPhett, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG757158,CP027541,"Mycobacterium phage HighStump, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_005263,CP019668,"Burkholderia phage Bcep1, complete genome","Burkholderia cenocepacia strain VC7848 chromosome, complete genome"
NC_011811,NZ_NQJM01000001,"Erwinia phage phiEa21-4, complete genome","Erwinia amylovora strain RISTBO01-2 tig00000000, whole genome shotgun sequence"
NC_029121,CP027116,"Bacillus phage Bp8p-C, complete genome","Bacillus pumilus strain 145 chromosome, complete genome"
NC_009526,NZ_CP023560,"Staphylococcus phage 80alpha, complete genome",Staphylococcus aureus strain NMR08 chromosome
NC_008694,RKJP01000005,"Yersinia phage Berlin, complete genome","Yersinia pestis strain FDAARGOS_604 unitig_0_quiver_quiver_pilon, whole genome shotgun sequence"
NC_012663,NZ_CM007353,"Lactococcus phage P087, complete genome","Lactococcus lactis subsp. cremoris IBB477 chromosome, whole genome shotgun sequence"
MK376953,NZ_CP029604,"Gordonia phage Rickmore, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MK376956,NZ_CP029604,"Gordonia phage WilliamBoone, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
KR935214,CP027541,"Mycobacterium phage Kimberlium, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK376954,NZ_CP029604,"Gordonia phage WhoseManz, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MK376955,CP027541,"Mycobacterium phage KiSi, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK376959,NZ_CP029604,"Gordonia phage Aphelion, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
NC_028683,CP028813,"Edwardsiella phage PEi20 DNA, complete sequence","Edwardsiella ictaluri strain MS-17-156 chromosome, complete genome"
NC_028979,CP027541,"Mycobacterium phage Cheetobro, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_028978,CP027541,"Mycobacterium phage Murucutumbu, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_028977,NZ_UWXU01000001,"Klebsiella phage vB_KpnP_KpV289, complete genome","Klebsiella pneumoniae isolate kpneu038, whole genome shotgun sequence"
NC_028972,RXKE01000007,"Gordonia phage Gmala1, complete genome","MAG Gordonia sp. isolate AWTP1-33 sample_33_scaffold_7, whole genome shotgun sequence"
NC_027925,KY464958,"Apis mellifera filamentous virus isolate CH-CO5, partial genome","Apis mellifera lamarckii voucher 1842 mitochondrion, complete genome"
KC576784,CP027541,"Mycobacterium phage ShiVal, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF185717,CP027541,"Mycobacterium phage AlleyCat, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_005880,NZ_CP023560,"Staphylococcus phage K, complete genome",Staphylococcus aureus strain NMR08 chromosome
MF185719,CP027541,"Mycobacterium phage Edugator, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF185718,LC361338,"Arthrobacter phage Colucci, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
NC_005885,NZ_LT629758,"Actinoplanes phage phiAsp2, complete genome",Actinoplanes derwentensis strain DSM 43941 chromosome I
NC_011614,NZ_CP023560,"Staphylococcus phage phiSauS-IPLA88, complete genome",Staphylococcus aureus strain NMR08 chromosome
NC_011612,NZ_CP023560,"Staphylococcus phage phiSauS-IPLA35, complete genome",Staphylococcus aureus strain NMR08 chromosome
NC_004689,CP027541,"Mycobacterium phage Barnyard, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_004689,CP020809,"Mycobacterium phage Barnyard, complete genome","Mycobacterium dioxanotrophicus strain PH-06 chromosome, complete genome"
NC_004688,CP027541,"Mycobacterium phage Omega, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_004688,CP020809,"Mycobacterium phage Omega, complete genome","Mycobacterium dioxanotrophicus strain PH-06 chromosome, complete genome"
NC_004687,CP027541,"Mycobacterium phage Bxz1, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_004687,CP020809,"Mycobacterium phage Bxz1, complete genome","Mycobacterium dioxanotrophicus strain PH-06 chromosome, complete genome"
NC_004686,CP027541,"Mycobacteriophage Che9d, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_004685,CP027541,"Mycobacterium phage Corndog, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_004685,CP020809,"Mycobacterium phage Corndog, complete genome","Mycobacterium dioxanotrophicus strain PH-06 chromosome, complete genome"
NC_004684,CP027541,"Mycobacterium phage Rosebush, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_004684,CP020809,"Mycobacterium phage Rosebush, complete genome","Mycobacterium dioxanotrophicus strain PH-06 chromosome, complete genome"
NC_004683,CP027541,"Mycobacterium phage Che9c, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_004683,CP020809,"Mycobacterium phage Che9c, complete genome","Mycobacterium dioxanotrophicus strain PH-06 chromosome, complete genome"
NC_004682,CP027541,"Mycobacterium virus Bxz2, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_004681,CP027541,"Mycobacterium phage Cjw1, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_004681,CP020809,"Mycobacterium phage Cjw1, complete genome","Mycobacterium dioxanotrophicus strain PH-06 chromosome, complete genome"
NC_004680,CP027541,"Mycobacterium phage Che8, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_004680,CP020809,"Mycobacterium phage Che8, complete genome","Mycobacterium dioxanotrophicus strain PH-06 chromosome, complete genome"
KU160674,LC361338,"Arthrobacter phage Yank, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
KU160672,LC361338,"Arthrobacter phage Wayne, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
KU160673,LC361338,"Arthrobacter phage Wilde, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
KU160670,LC361338,"Arthrobacter phage Toulouse, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
KU160671,LC361338,"Arthrobacter phage Vulture, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
NC_025471,NZ_MSEI01000003,"Idiomarinaceae phage Phi1M2-2, complete genome","Idiomarina sp. 5.13 contig_03, whole genome shotgun sequence"
MK359348,CP027541,"Mycobacterium phage Rahel, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK359349,CP027541,"Mycobacterium phage FoxtrotP1, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK279850,CP027541,"Mycobacterium phage Durga, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK359344,CP027541,"Mycobacterium phage Napoleon13, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH590606,CP019892,"Microbacterium phage Andromedas, complete genome",Microbacterium foliorum strain 122 genome
MH590605,CP027541,"Mycobacterium phage Cherrybomb426, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KX580962,CP027541,"Mycobacterium phage Wilder, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH590603,NZ_CP029604,"Gordonia phage Daredevil, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MK359341,CP027541,"Mycobacterium phage GingkoMaracino, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK359342,CP027541,"Mycobacterium phage ShiaLabeouf, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH590600,CP019892,"Microbacterium phage KaiHaiDragon, complete genome",Microbacterium foliorum strain 122 genome
MH271320,NZ_LT629770,"Microbacterium phage Zeta1847, complete genome",Microbacterium paraoxydans strain DSM 15019 chromosome I
MH271321,CP019892,"Microbacterium phage Quhwah, complete genome",Microbacterium foliorum strain 122 genome
KU252585,NZ_CP029604,"Gordonia phage Howe, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
NC_011104,CP014201,"Lactobacillus phage Lrm1, complete genome","Lactobacillus rhamnosus strain BFE5264, complete genome"
NC_016770,NC_016776,"Bacteroides phage B124-14, complete genome","Bacteroides fragilis 638R, complete sequence"
MK468591,CP027541,"Mycobacterium phage Arissanae, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK524528,CP027541,"Mycobacterium phage ShrimpFriedEgg, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK524529,CP027541,"Mycobacterium phage Phoebus, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_015296,CP030026,"Salmonella phage Vi01, complete genome",Salmonella enterica subsp. diarizonae serovar 59:z10:- strain SA20051472 chromosome
NC_015297,NZ_CDQJ01000001,"Ralstonia phage PE226, complete genome","Ralstonia solanacearum strain CFBP3858, whole genome shotgun sequence"
MK524524,NZ_CM001889,"Streptomyces phage Caelum, complete genome","Streptomyces lividans 1326 chromosome, whole genome shotgun sequence"
MK524525,CP027541,"Mycobacterium phage Ringer, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK524522,CP027541,"Mycobacterium phage Purgamenstris, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK524523,CP027541,"Mycobacterium phage Naira, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK524520,CP027541,"Mycobacterium phage Nenae, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_011046,NZ_CM007353,"Lactococcus phage bIBB29, complete genome","Lactococcus lactis subsp. cremoris IBB477 chromosome, whole genome shotgun sequence"
NC_024711,SDYW01000001,"Uncultured crAssphage, complete genome","MAG bacterium isolate PMG_067 scaffold_117, whole genome shotgun sequence"
NC_011044,CP027541,"Mycobacterium phage Nigel, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_011043,CP020358,"Klebsiella phage K11, complete genome","Klebsiella oxytoca strain AR_0147, complete genome"
MG962371,CP027541,"Mycobacterium phage LaterM, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG962370,CP027541,"Mycobacterium phage Kykar, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG962373,CP027541,"Mycobacterium phage Morrow, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG962372,CP027541,"Mycobacterium phage McGuire, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG962375,CP027541,"Mycobacterium phage ProfessorX, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG962374,CP027541,"Mycobacterium phage Paola, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK359299,CP027541,"Mycobacterium phage Petp2012, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_008208,CP022426,"Aeromonas phage 25, complete genome","Aeromonas salmonicida subsp. pectinolytica 34mel chromosome, complete genome"
NC_021300,CP023558,"Pseudoalteromonas phage RIO-1, complete genome","Pseudoalteromonas marina strain ECSMB14103 chromosome, complete genome"
NC_021561,NZ_LK391965,Vibrio phage pYD38-B genomic sequence,"Vibrio nigripulchritudo SOn1, whole genome shotgun sequence"
NC_009014,NZ_NQJM01000001,"Erwinia amylovora phage Era103, complete genome","Erwinia amylovora strain RISTBO01-2 tig00000000, whole genome shotgun sequence"
MF919509,CP027541,"Mycobacterium phage JetBlade, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF919508,CP027541,"Mycobacterium phage ILeeKay, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_029094,CP023558,"Pseudoalteromonas phage H101, complete genome","Pseudoalteromonas marina strain ECSMB14103 chromosome, complete genome"
NC_015586,LT906480,"Stenotrophomonas phage phiSHP2, complete genome","Stenotrophomonas maltophilia strain NCTC10257 genome assembly, chromosome: 1"
NC_029092,CP026100,"Caulobacter phage Percy, complete genome","Caulobacter flavus strain RHGG3 chromosome, complete genome"
